company,size,industry,city,state,contacts,roles,interactions,interactionSubjects,daysSinceLastInteraction,averageOfferValue,offerClosed,offerHitRate,daysSinceLastOfferClosed,customerClassification
"Martin, Hartman and Jensen",Small,Electric Vehicle (EV) Industry,Richardshire,Idaho,2,"CEO, Sales Representative",19,"Follow-up on proposal, Contract negotiation, Discuss project details, Product demostration, Follow-up on order, Customer inquiry, Product feedback",57,9963.26,7,0.41,112,C
"Stewart, Kennedy and Franklin",Medium,Automobile Manufacturers (OEMs),East Leahhaven,Louisiana,1,Sales Representative,20,"Contract negotiation, Product demostration, Customer inquiry, Product feedback, Discuss project details, Follow-up on proposal",113,9869.54,10,0.38,86,B
"Stuart, Greene and White",Medium,Fleet Management,South Jessica,Nevada,1,Technical Representative,15,"Follow-up on proposal, Product demostration, Follow-up on order, Contract negotiation, Product feedback, Discuss project details",39,9967.69,19,0.56,83,A
Torres-Porter,Small,Electric Vehicle (EV) Industry,South Brian,Colorado,4,"Technical Manager, CFO, CCO",15,"Product demostration, Product feedback, Customer inquiry, Contract negotiation, Follow-up on order, Discuss project details, Follow-up on proposal",169,10205.47,8,0.47,134,B
James LLC,Small,Connected Car Solutions Providers,Lauraborough,Oklahoma,5,"Sales Representative, CCO, Technical Representative",11,"Follow-up on order, Follow-up on proposal, Contract negotiation, Product feedback, Product demostration",209,10030.62,19,0.76,53,A
Yang Ltd,Large,Connected Car Solutions Providers,Gutierrezberg,Hawaii,4,"CEO, Technical Representative, Sales Manager, Sales Representative",14,"Customer inquiry, Contract negotiation, Discuss project details, Follow-up on order, Product feedback, Follow-up on proposal",134,9871.96,12,0.44,75,A
"Gonzalez, Edwards and Pham",Small,Automotive R&D and Testing Centers,Port Davidview,Connecticut,1,CEO,19,"Customer inquiry, Follow-up on proposal, Contract negotiation, Discuss project details, Product feedback, Product demostration, Follow-up on order",39,9816.74,12,0.52,34,A
Beasley Group,Large,Ridesharing & Mobility Services,Lake Brookeport,South Dakota,3,"Sales Representative, Technical Representative, CCO",12,"Customer inquiry, Product feedback, Contract negotiation, Product demostration, Follow-up on order, Discuss project details, Follow-up on proposal",44,10190.59,8,0.53,103,B
Greene-Walker,Small,Electric Vehicle (EV) Industry,Lake Tinaburgh,South Dakota,2,"CFO, Sales Manager",17,"Follow-up on order, Follow-up on proposal, Discuss project details, Customer inquiry, Product feedback, Product demostration, Contract negotiation",112,9844.35,7,0.5,52,C
Smith PLC,Small,Connected Car Solutions Providers,Lisamouth,Nebraska,2,Technical Manager,25,"Product feedback, Product demostration, Discuss project details, Follow-up on proposal, Contract negotiation, Follow-up on order, Customer inquiry",111,10037.0,7,0.3,55,C
Davis-Reilly,Medium,Electric Vehicle (EV) Industry,East Angela,North Carolina,2,"Technical Manager, CEO",15,"Discuss project details, Product feedback, Customer inquiry, Product demostration, Follow-up on proposal, Follow-up on order, Contract negotiation",75,9851.02,4,0.25,168,C
Hall-Stewart,Large,Automobile Manufacturers (OEMs),Penningtonhaven,Illinois,1,Technical Representative,13,"Discuss project details, Follow-up on order, Customer inquiry, Contract negotiation, Product feedback, Product demostration, Follow-up on proposal",89,9788.29,13,0.54,76,A
Wilson PLC,Small,Ridesharing & Mobility Services,Port Heatherborough,Connecticut,1,Technical Representative,13,"Customer inquiry, Follow-up on order, Product demostration, Follow-up on proposal, Contract negotiation, Product feedback",205,9825.65,10,0.62,195,B
"Jackson, Blankenship and Mccormick",Medium,Connected Car Solutions Providers,Nancyburgh,Oregon,2,"CFO, Sales Manager",17,"Discuss project details, Follow-up on proposal, Contract negotiation, Product demostration, Follow-up on order, Product feedback",89,9905.9,9,0.6,64,B
Castillo Ltd,Large,Fleet Management,North Jackburgh,New York,2,"Sales Manager, Sales Representative",18,"Customer inquiry, Follow-up on proposal, Follow-up on order, Product demostration, Contract negotiation, Product feedback",79,10674.17,5,0.45,110,C
Jones Ltd,Small,Automobile Manufacturers (OEMs),West Scottview,Nevada,1,CEO,16,"Product demostration, Contract negotiation, Follow-up on order, Discuss project details, Customer inquiry, Product feedback, Follow-up on proposal",97,9950.41,10,0.67,160,B
Murray LLC,Small,Automotive R&D and Testing Centers,Lewisbury,Hawaii,2,"Sales Representative, CEO",23,"Discuss project details, Customer inquiry, Follow-up on order, Contract negotiation, Product feedback, Product demostration, Follow-up on proposal",51,10037.12,8,0.5,82,B
Brown PLC,Small,Electric Vehicle (EV) Industry,Parsonsmouth,Tennessee,5,"Sales Representative, CFO, Technical Manager, Technical Representative",23,"Product feedback, Contract negotiation, Product demostration, Customer inquiry, Discuss project details, Follow-up on proposal, Follow-up on order",188,10110.28,8,0.5,224,B
Reed and Sons,Small,Automotive R&D and Testing Centers,West Philip,Idaho,1,Technical Representative,11,"Contract negotiation, Discuss project details, Customer inquiry, Follow-up on proposal, Product demostration",43,9891.33,10,0.53,59,B
"Stevens, Mata and Everett",Small,Electric Vehicle (EV) Industry,Port Tyler,New Jersey,1,CFO,15,"Product feedback, Follow-up on order, Follow-up on proposal, Contract negotiation, Customer inquiry, Discuss project details, Product demostration",38,10066.17,7,0.39,51,C
"Berry, Jackson and Williams",Medium,Connected Car Solutions Providers,Parksberg,Texas,3,"Sales Manager, CCO, Technical Representative",18,"Product demostration, Customer inquiry, Follow-up on proposal, Product feedback, Follow-up on order, Discuss project details",153,10128.0,11,0.46,94,A
Huff-Harrell,Large,Electric Vehicle (EV) Industry,Knightborough,West Virginia,1,Technical Manager,14,"Product feedback, Customer inquiry, Follow-up on order, Contract negotiation, Discuss project details, Follow-up on proposal, Product demostration",82,10084.47,11,0.52,33,A
"Lewis, Perez and Farley",Medium,Ridesharing & Mobility Services,Floresville,Virginia,3,"Technical Manager, CFO, CEO",16,"Product demostration, Follow-up on order, Contract negotiation, Product feedback, Follow-up on proposal, Customer inquiry",118,9884.52,12,0.52,33,A
Shaffer-Garcia,Small,Automotive R&D and Testing Centers,East Michael,Mississippi,3,"CEO, Technical Representative",14,"Discuss project details, Customer inquiry, Product demostration, Follow-up on order, Product feedback, Contract negotiation",51,10374.86,6,0.46,70,C
Kim-Lopez,Medium,Automobile Manufacturers (OEMs),West Bryan,Texas,4,"Sales Representative, CFO, Sales Manager",18,"Product feedback, Contract negotiation, Follow-up on order, Customer inquiry, Follow-up on proposal, Discuss project details",33,9831.79,10,0.5,37,B
"Welch, Mitchell and Tran",Large,Automobile Manufacturers (OEMs),Jenniferfurt,Pennsylvania,3,"CEO, Technical Representative",24,"Customer inquiry, Product feedback, Follow-up on order, Follow-up on proposal, Contract negotiation, Discuss project details, Product demostration",258,10019.85,7,0.32,39,C
Sanders Ltd,Medium,Ridesharing & Mobility Services,South Dustinmouth,Alabama,2,"Technical Representative, Technical Manager",17,"Product demostration, Customer inquiry, Product feedback, Discuss project details, Follow-up on order, Contract negotiation, Follow-up on proposal",120,9892.61,7,0.33,111,C
Elliott LLC,Medium,Connected Car Solutions Providers,North Laurenview,New Hampshire,5,"Sales Representative, CCO, Technical Representative, Technical Manager, CFO",18,"Customer inquiry, Product demostration, Follow-up on order, Contract negotiation, Discuss project details, Follow-up on proposal, Product feedback",229,10147.36,4,0.31,186,C
Harris PLC,Large,Ridesharing & Mobility Services,Claytonhaven,South Carolina,1,Technical Manager,15,"Customer inquiry, Product feedback, Product demostration, Contract negotiation, Discuss project details, Follow-up on proposal",167,10067.24,11,0.73,143,A
Myers PLC,Medium,Electric Vehicle (EV) Industry,East Williamborough,Mississippi,4,"Technical Manager, CEO, Technical Representative, Sales Manager",12,"Follow-up on proposal, Customer inquiry, Follow-up on order, Discuss project details, Product demostration, Product feedback",51,10130.33,6,0.35,147,C
"Davis, Stewart and Case",Medium,Ridesharing & Mobility Services,Alanview,Wyoming,5,"Technical Representative, Sales Representative, CFO, CCO",15,"Follow-up on order, Discuss project details, Customer inquiry, Product feedback, Follow-up on proposal, Product demostration",39,10122.34,5,0.29,104,C
Anderson-Garcia,Small,Electric Vehicle (EV) Industry,South Aliciaberg,Florida,1,Technical Representative,10,"Customer inquiry, Contract negotiation, Follow-up on proposal, Product demostration, Discuss project details",49,10254.16,8,0.4,38,B
Ford Ltd,Large,Ridesharing & Mobility Services,South Veronica,South Dakota,1,Technical Manager,16,"Follow-up on proposal, Product demostration, Product feedback, Discuss project details, Customer inquiry, Contract negotiation, Follow-up on order",143,9892.96,9,0.5,45,B
Gray PLC,Medium,Electric Vehicle (EV) Industry,Nortontown,New Mexico,1,Sales Representative,13,"Contract negotiation, Customer inquiry, Product demostration, Discuss project details, Follow-up on order",40,10530.4,9,0.45,128,B
Castillo Ltd,Medium,Electric Vehicle (EV) Industry,Port Leonardland,South Dakota,2,"Sales Manager, Technical Manager",12,"Product feedback, Follow-up on proposal, Customer inquiry, Product demostration, Contract negotiation",190,10219.49,10,0.5,35,B
"Martin, Alvarez and Smith",Small,Automotive R&D and Testing Centers,Walkerview,Minnesota,3,"Sales Manager, CEO",18,"Product feedback, Product demostration, Contract negotiation, Follow-up on proposal, Customer inquiry, Follow-up on order",38,10084.8,6,0.35,220,C
Park Inc,Small,Ridesharing & Mobility Services,Tracymouth,Ohio,2,CEO,11,"Customer inquiry, Contract negotiation, Product feedback, Product demostration, Follow-up on order",134,10183.59,8,0.4,101,B
Nelson-Davis,Small,Electric Vehicle (EV) Industry,Scotthaven,Vermont,2,"Technical Representative, CCO",12,"Contract negotiation, Customer inquiry, Product demostration, Follow-up on proposal, Product feedback, Discuss project details",87,10361.69,11,0.58,43,A
"Hartman, Flores and Serrano",Small,Automotive R&D and Testing Centers,Denisefurt,Iowa,3,"Technical Manager, Technical Representative, Sales Representative",17,"Customer inquiry, Product feedback, Follow-up on proposal, Contract negotiation, Follow-up on order, Discuss project details",116,10094.72,7,0.39,70,C
"Richardson, Johnson and Warner",Large,Ridesharing & Mobility Services,Dylanfort,Louisiana,3,"Technical Manager, CCO",15,"Follow-up on proposal, Follow-up on order, Customer inquiry, Discuss project details, Product demostration, Contract negotiation, Product feedback",37,10203.19,11,0.42,33,A
White-Green,Large,Electric Vehicle (EV) Industry,Heatherview,Maryland,1,Sales Representative,14,"Follow-up on proposal, Contract negotiation, Follow-up on order, Product feedback, Product demostration",144,9557.94,8,0.62,147,B
Kaiser Ltd,Large,Ridesharing & Mobility Services,Summermouth,Wisconsin,2,"CFO, Sales Manager",11,"Follow-up on order, Follow-up on proposal, Contract negotiation, Discuss project details, Product demostration, Product feedback, Customer inquiry",118,10024.64,12,0.48,45,A
Johnson PLC,Large,Ridesharing & Mobility Services,East Scottfurt,New Mexico,2,"CCO, Sales Representative",20,"Follow-up on order, Discuss project details, Customer inquiry, Follow-up on proposal, Product demostration, Product feedback, Contract negotiation",168,10127.04,10,0.45,45,B
Jimenez-Scott,Large,Automobile Manufacturers (OEMs),Danielleland,Maine,2,"CFO, CEO",17,"Customer inquiry, Product feedback, Contract negotiation, Follow-up on proposal, Discuss project details, Product demostration, Follow-up on order",59,9928.34,7,0.3,42,C
"Valenzuela, Khan and Harris",Large,Electric Vehicle (EV) Industry,South Jessicamouth,Massachusetts,3,"Technical Representative, CCO",15,"Follow-up on proposal, Product demostration, Product feedback, Discuss project details, Contract negotiation, Customer inquiry",48,9850.59,14,0.5,93,A
Avila Ltd,Large,Automobile Manufacturers (OEMs),Millermouth,South Carolina,2,"Sales Manager, CEO",26,"Customer inquiry, Follow-up on order, Follow-up on proposal, Discuss project details, Product feedback, Product demostration, Contract negotiation",58,10197.49,7,0.39,106,C
Ramos-Kennedy,Medium,Ridesharing & Mobility Services,Pettytown,West Virginia,1,CEO,17,"Contract negotiation, Discuss project details, Follow-up on proposal, Follow-up on order, Product feedback, Product demostration",176,10011.94,9,0.47,47,B
Rogers-Williams,Small,Connected Car Solutions Providers,Lake David,Alaska,1,Technical Representative,16,"Follow-up on order, Follow-up on proposal, Product demostration, Product feedback, Contract negotiation, Customer inquiry, Discuss project details",138,10014.05,13,0.5,111,A
"Strong, Ellis and Reyes",Medium,Ridesharing & Mobility Services,Travisville,Indiana,6,"CEO, Technical Representative, Technical Manager, CCO, CFO",18,"Product demostration, Product feedback, Customer inquiry, Follow-up on order, Contract negotiation, Follow-up on proposal, Discuss project details",65,10347.26,5,0.45,217,C
White PLC,Medium,Connected Car Solutions Providers,South William,New Mexico,4,"CEO, CFO, Technical Manager, CCO",13,"Product demostration, Follow-up on order, Discuss project details, Product feedback, Customer inquiry, Contract negotiation",139,9820.01,10,0.53,94,B
Lopez Inc,Small,Automotive R&D and Testing Centers,New Amandamouth,Nebraska,3,"Technical Manager, CEO",14,"Contract negotiation, Customer inquiry, Follow-up on order, Product feedback, Discuss project details, Follow-up on proposal, Product demostration",121,10274.6,7,0.41,128,C
"Smith, Bradley and Davidson",Small,Automobile Manufacturers (OEMs),Gutierrezview,Wisconsin,4,"CEO, Technical Manager, Sales Representative, CFO",20,"Discuss project details, Customer inquiry, Contract negotiation, Follow-up on order, Follow-up on proposal, Product demostration",125,9731.19,12,0.52,33,A
"Walker, Joseph and Evans",Small,Electric Vehicle (EV) Industry,Lake Ashleyview,Colorado,3,"CEO, CCO, Technical Representative",13,"Follow-up on proposal, Follow-up on order, Product feedback, Product demostration, Contract negotiation, Customer inquiry, Discuss project details",86,10154.92,12,0.57,35,A
Zuniga-Hubbard,Small,Fleet Management,North Andrea,Nevada,4,"Sales Representative, Technical Manager, CEO",14,"Follow-up on proposal, Product demostration, Discuss project details, Contract negotiation, Follow-up on order, Product feedback, Customer inquiry",162,9607.12,6,0.33,178,C
"Mathews, Meyer and Turner",Small,Automobile Manufacturers (OEMs),North Mary,Connecticut,3,"Technical Representative, Sales Representative",16,"Contract negotiation, Discuss project details, Follow-up on order, Product feedback, Customer inquiry, Product demostration",46,9828.56,9,0.5,47,B
Diaz Group,Medium,Connected Car Solutions Providers,Shawhaven,Missouri,2,"Sales Manager, CEO",21,"Product feedback, Discuss project details, Customer inquiry, Follow-up on order, Contract negotiation, Follow-up on proposal, Product demostration",83,9536.56,9,0.43,68,B
"Moore, Novak and Gonzalez",Large,Electric Vehicle (EV) Industry,West Kimborough,Wisconsin,3,"Technical Manager, Sales Representative",15,"Customer inquiry, Product feedback, Product demostration, Follow-up on proposal, Discuss project details, Contract negotiation",185,10165.27,10,0.45,130,B
Taylor Ltd,Small,Automobile Manufacturers (OEMs),Lake Jessicaland,Alaska,2,Sales Manager,17,"Product feedback, Follow-up on proposal, Discuss project details, Follow-up on order, Contract negotiation, Product demostration, Customer inquiry",56,9775.13,11,0.48,52,A
"Holloway, Schaefer and Wright",Large,Connected Car Solutions Providers,New Stephanie,Oklahoma,2,"CFO, Sales Manager",18,"Contract negotiation, Follow-up on proposal, Product feedback, Customer inquiry, Follow-up on order, Discuss project details",149,10120.92,9,0.53,144,B
"Lucas, Payne and Hall",Small,Automotive R&D and Testing Centers,West Valerieberg,Washington,3,"CCO, Technical Manager",19,"Discuss project details, Product feedback, Contract negotiation, Customer inquiry, Follow-up on proposal, Follow-up on order",47,9997.24,9,0.39,97,B
"Mays, Jones and Robinson",Medium,Automotive R&D and Testing Centers,West Richardton,New Mexico,2,"Technical Manager, Sales Manager",19,"Product demostration, Contract negotiation, Follow-up on order, Discuss project details, Customer inquiry, Follow-up on proposal, Product feedback",33,9950.64,6,0.32,50,C
Turner-Oliver,Medium,Ridesharing & Mobility Services,South Joannaborough,Kentucky,2,"CEO, CCO",18,"Discuss project details, Contract negotiation, Product feedback, Product demostration, Customer inquiry, Follow-up on order, Follow-up on proposal",38,10182.46,8,0.38,136,B
Coleman PLC,Small,Ridesharing & Mobility Services,Andreatown,North Carolina,2,Technical Representative,20,"Customer inquiry, Follow-up on order, Contract negotiation, Follow-up on proposal, Product feedback, Discuss project details, Product demostration",35,9972.29,9,0.43,107,B
"May, Ayala and Graham",Small,Electric Vehicle (EV) Industry,South Olivia,Oklahoma,1,Technical Representative,11,"Product demostration, Customer inquiry, Product feedback, Contract negotiation, Follow-up on order",111,10046.11,15,0.58,153,A
"Ryan, Romero and Robinson",Small,Automotive R&D and Testing Centers,Stoutborough,Georgia,1,Sales Manager,12,"Follow-up on order, Follow-up on proposal, Customer inquiry, Product demostration, Contract negotiation, Product feedback",204,9881.29,10,0.33,87,B
Waters-Strong,Small,Ridesharing & Mobility Services,Poolemouth,Arkansas,3,"Technical Representative, CEO, CCO",19,"Customer inquiry, Discuss project details, Follow-up on order, Product feedback, Product demostration, Contract negotiation, Follow-up on proposal",92,9977.05,7,0.39,85,C
Cole Ltd,Large,Automobile Manufacturers (OEMs),New Joel,Rhode Island,2,Technical Representative,16,"Discuss project details, Product feedback, Follow-up on proposal, Customer inquiry, Contract negotiation, Product demostration, Follow-up on order",39,9626.12,8,0.57,85,B
"Cannon, Vaughan and Whitaker",Large,Ridesharing & Mobility Services,Port Katelynton,Montana,3,"CEO, CCO",11,"Follow-up on order, Contract negotiation, Product feedback, Discuss project details, Product demostration",194,10202.97,9,0.45,196,B
"Villarreal, Baird and Harper",Small,Automobile Manufacturers (OEMs),New Michelle,Alaska,1,Technical Representative,16,"Follow-up on order, Contract negotiation, Product feedback, Product demostration, Follow-up on proposal, Discuss project details",65,9930.33,9,0.47,48,B
"Torres, Blair and Harris",Large,Connected Car Solutions Providers,Torresberg,Massachusetts,2,"CFO, CEO",19,"Product demostration, Product feedback, Follow-up on order, Contract negotiation, Follow-up on proposal, Customer inquiry",152,10108.34,12,0.57,68,A
"Pierce, Brown and Watson",Small,Automotive R&D and Testing Centers,Port Michael,New Mexico,2,"Technical Representative, Technical Manager",13,"Discuss project details, Follow-up on order, Customer inquiry, Product feedback, Product demostration",36,10387.4,4,0.31,157,C
"Weber, Kirk and Osborn",Small,Automotive R&D and Testing Centers,New George,Rhode Island,3,"Sales Representative, CEO, CFO",14,"Follow-up on proposal, Contract negotiation, Customer inquiry, Product demostration, Follow-up on order, Discuss project details, Product feedback",91,10038.26,10,0.4,34,B
Miller Inc,Small,Automotive R&D and Testing Centers,East Shannonfort,Nevada,1,Sales Representative,16,"Follow-up on order, Customer inquiry, Product demostration, Product feedback, Follow-up on proposal, Discuss project details, Contract negotiation",56,9736.54,12,0.57,100,A
Smith-Rodriguez,Large,Automobile Manufacturers (OEMs),East Curtistown,New Hampshire,3,"CEO, Sales Manager",11,"Discuss project details, Contract negotiation, Customer inquiry, Product demostration, Follow-up on order, Follow-up on proposal, Product feedback",33,9532.36,7,0.32,40,C
"Garcia, King and Gomez",Small,Connected Car Solutions Providers,New Jesse,Arkansas,3,"Sales Representative, Sales Manager, Technical Representative",13,"Customer inquiry, Discuss project details, Product demostration, Contract negotiation, Follow-up on proposal, Product feedback, Follow-up on order",232,10243.8,7,0.41,44,C
Callahan and Sons,Small,Electric Vehicle (EV) Industry,Parkermouth,South Dakota,1,CEO,13,"Discuss project details, Customer inquiry, Product feedback, Contract negotiation, Follow-up on proposal, Product demostration",59,10160.73,9,0.53,70,B
"Huffman, Crosby and Duncan",Small,Ridesharing & Mobility Services,Youngchester,Alaska,1,Technical Manager,10,"Follow-up on proposal, Customer inquiry, Product demostration, Product feedback, Discuss project details, Follow-up on order",84,10081.48,10,0.45,39,B
Small Ltd,Large,Connected Car Solutions Providers,North Richardmouth,Maine,1,CEO,14,"Follow-up on proposal, Discuss project details, Contract negotiation, Customer inquiry, Product feedback, Product demostration",58,9735.42,10,0.53,146,B
Reese-Wade,Small,Automobile Manufacturers (OEMs),Annville,North Carolina,2,Sales Manager,23,"Follow-up on proposal, Product feedback, Follow-up on order, Discuss project details, Product demostration, Contract negotiation, Customer inquiry",44,9951.79,11,0.38,33,A
Kim Ltd,Large,Electric Vehicle (EV) Industry,Owensbury,California,2,"CEO, Sales Manager",6,"Contract negotiation, Follow-up on order, Discuss project details, Follow-up on proposal, Product feedback",92,9933.31,10,0.48,56,B
Salinas Group,Large,Ridesharing & Mobility Services,Codyland,Maryland,1,Sales Manager,16,"Follow-up on order, Product demostration, Follow-up on proposal, Discuss project details, Customer inquiry, Contract negotiation",66,9966.72,5,0.38,37,C
Rasmussen-Miller,Medium,Automobile Manufacturers (OEMs),Garnerview,Alabama,1,CEO,13,"Product feedback, Discuss project details, Product demostration, Follow-up on order, Contract negotiation",60,9811.94,8,0.4,118,B
Nielsen Ltd,Small,Ridesharing & Mobility Services,Jonesfurt,Wyoming,1,Sales Representative,17,"Discuss project details, Follow-up on proposal, Follow-up on order, Customer inquiry, Product feedback, Product demostration, Contract negotiation",43,9844.1,8,0.44,73,B
Sanchez LLC,Medium,Electric Vehicle (EV) Industry,North Tyler,Wyoming,2,CEO,12,"Customer inquiry, Product demostration, Product feedback, Follow-up on proposal, Contract negotiation, Follow-up on order",66,9977.78,7,0.39,121,C
Watson Ltd,Small,Ridesharing & Mobility Services,South Kevin,North Carolina,1,CEO,14,"Follow-up on proposal, Customer inquiry, Contract negotiation, Product demostration, Discuss project details, Product feedback",102,10102.13,7,0.33,52,C
Roth-Johnson,Medium,Automobile Manufacturers (OEMs),Thomashaven,Ohio,3,"Sales Representative, CCO",21,"Follow-up on proposal, Product feedback, Product demostration, Customer inquiry, Contract negotiation, Discuss project details, Follow-up on order",178,10420.92,6,0.43,98,C
Combs-Juarez,Large,Connected Car Solutions Providers,East Danielle,Colorado,3,"Technical Manager, CCO",13,"Product demostration, Contract negotiation, Follow-up on proposal, Discuss project details, Product feedback, Follow-up on order, Customer inquiry",50,9925.88,2,0.13,34,C
Cortez-West,Medium,Automobile Manufacturers (OEMs),Rachelchester,Arizona,1,Technical Manager,14,"Customer inquiry, Product feedback, Follow-up on order, Product demostration, Discuss project details, Follow-up on proposal",34,9986.37,8,0.5,162,B
Powers PLC,Small,Automobile Manufacturers (OEMs),Harrisonside,North Carolina,2,"Sales Representative, Technical Representative",6,"Customer inquiry, Follow-up on proposal, Product feedback, Follow-up on order, Discuss project details",264,10475.53,8,0.5,56,B
Johnson-Colon,Small,Fleet Management,East Thomas,Florida,1,CFO,11,"Contract negotiation, Product demostration, Customer inquiry, Product feedback, Follow-up on proposal, Follow-up on order, Discuss project details",113,9362.71,6,0.67,159,C
Farrell Group,Small,Electric Vehicle (EV) Industry,Mckenzietown,West Virginia,2,"Technical Representative, CCO",14,"Discuss project details, Follow-up on proposal, Product feedback, Product demostration, Contract negotiation, Follow-up on order, Customer inquiry",65,9798.9,6,0.35,105,C
Cooley-Allen,Small,Automobile Manufacturers (OEMs),Tammytown,Illinois,1,CEO,17,"Follow-up on order, Contract negotiation, Customer inquiry, Follow-up on proposal, Discuss project details, Product demostration, Product feedback",61,9899.94,8,0.4,53,B
"Morris, Henry and Coleman",Large,Automotive R&D and Testing Centers,Leonardfurt,Indiana,1,Sales Manager,13,"Follow-up on proposal, Customer inquiry, Product feedback, Contract negotiation, Follow-up on order, Product demostration, Discuss project details",114,9713.28,7,0.5,165,C
Johnson-Harrison,Small,Electric Vehicle (EV) Industry,South Jamiemouth,New Hampshire,3,"CEO, CCO, Sales Manager",12,"Product feedback, Follow-up on order, Follow-up on proposal, Contract negotiation",132,9975.17,7,0.44,47,C
"Perez, Ramirez and Mooney",Medium,Ridesharing & Mobility Services,Mckinneyfurt,Kentucky,2,"Sales Representative, CCO",12,"Discuss project details, Follow-up on order, Product feedback, Customer inquiry, Product demostration, Contract negotiation",172,9860.91,14,0.54,44,A
"Johnson, Miller and Ware",Medium,Connected Car Solutions Providers,Stewartton,Maine,3,"Sales Manager, Technical Representative",15,"Follow-up on proposal, Contract negotiation, Product demostration, Product feedback, Follow-up on order, Customer inquiry, Discuss project details",105,9977.33,7,0.47,117,C
Anderson LLC,Large,Electric Vehicle (EV) Industry,South Carlaland,Alaska,3,"CCO, Technical Manager, Sales Representative",11,"Product feedback, Contract negotiation, Discuss project details, Customer inquiry, Follow-up on order, Product demostration",91,10118.31,4,0.21,72,C
Griffith-Schultz,Large,Fleet Management,Levyshire,Louisiana,1,Technical Representative,10,"Follow-up on order, Product feedback, Customer inquiry, Product demostration",101,9980.74,10,0.53,74,B
"Hoffman, Griffin and Roach",Medium,Automotive R&D and Testing Centers,South Brittany,Massachusetts,2,"CCO, CEO",9,"Follow-up on proposal, Follow-up on order, Customer inquiry, Product demostration, Discuss project details",110,10033.72,8,0.42,46,B
Jackson LLC,Medium,Electric Vehicle (EV) Industry,Leslieshire,Rhode Island,1,Sales Manager,21,"Customer inquiry, Product demostration, Contract negotiation, Product feedback, Discuss project details, Follow-up on order",60,10009.23,6,0.4,102,C
Robinson-Montgomery,Small,Automotive R&D and Testing Centers,Jefferyport,Iowa,2,"Technical Manager, Sales Manager",22,"Product feedback, Contract negotiation, Product demostration, Discuss project details, Customer inquiry, Follow-up on proposal, Follow-up on order",45,10135.48,5,0.36,173,C
Thomas-Larson,Medium,Electric Vehicle (EV) Industry,North Katrinaland,South Dakota,1,Technical Representative,18,"Product feedback, Follow-up on order, Follow-up on proposal, Discuss project details, Product demostration, Contract negotiation, Customer inquiry",57,9515.31,3,0.27,59,C
"Martinez, Ayala and Smith",Large,Automobile Manufacturers (OEMs),Port Steveville,Tennessee,3,"CEO, Sales Representative, CFO",23,"Customer inquiry, Product demostration, Contract negotiation, Follow-up on order, Product feedback, Discuss project details, Follow-up on proposal",53,10058.98,10,0.42,126,B
Jensen-Mejia,Large,Automobile Manufacturers (OEMs),Meganshire,Wisconsin,3,"Technical Representative, CFO",23,"Follow-up on order, Customer inquiry, Discuss project details, Product feedback, Product demostration, Contract negotiation, Follow-up on proposal",68,9807.68,4,0.21,194,C
Bates-Thompson,Large,Fleet Management,North Dylan,Florida,1,CFO,21,"Discuss project details, Product demostration, Contract negotiation, Follow-up on proposal, Follow-up on order, Product feedback, Customer inquiry",91,9702.69,15,0.48,84,A
Mitchell-Taylor,Medium,Automotive R&D and Testing Centers,Jacobmouth,North Dakota,2,"CEO, CFO",12,"Follow-up on proposal, Contract negotiation, Product demostration, Customer inquiry, Follow-up on order, Discuss project details",133,9684.53,13,0.72,43,A
Johnson-Adams,Small,Electric Vehicle (EV) Industry,Santiagofort,California,2,"Sales Representative, Technical Manager",18,"Follow-up on proposal, Contract negotiation, Customer inquiry, Follow-up on order, Product demostration, Product feedback",92,9840.66,11,0.58,93,A
Reynolds-Jenkins,Small,Connected Car Solutions Providers,South Penny,Colorado,4,"Technical Manager, CFO",22,"Customer inquiry, Follow-up on proposal, Contract negotiation, Discuss project details, Product demostration, Product feedback, Follow-up on order",54,9768.32,4,0.21,156,C
"Malone, Clark and Allen",Medium,Fleet Management,Thomasburgh,Texas,1,Technical Representative,10,"Follow-up on order, Product demostration, Follow-up on proposal, Contract negotiation, Customer inquiry, Product feedback",74,9934.29,5,0.38,37,C
Rodriguez-Underwood,Medium,Automobile Manufacturers (OEMs),Robinsonborough,Utah,1,Sales Manager,19,"Follow-up on proposal, Follow-up on order, Product demostration, Contract negotiation, Discuss project details",45,9870.01,9,0.45,47,B
Willis-Wilson,Large,Connected Car Solutions Providers,Lake Matthewfurt,Idaho,1,CEO,16,"Product demostration, Customer inquiry, Follow-up on proposal, Follow-up on order, Product feedback",47,10175.11,6,0.3,144,C
Meadows-Nguyen,Small,Automobile Manufacturers (OEMs),New Jamie,New Jersey,2,"Technical Manager, CFO",21,"Product demostration, Product feedback, Follow-up on order, Follow-up on proposal, Discuss project details, Contract negotiation",98,10290.06,8,0.57,93,B
Myers-Salinas,Small,Fleet Management,Ashleyborough,Indiana,2,"CCO, CFO",25,"Contract negotiation, Discuss project details, Customer inquiry, Follow-up on proposal, Product feedback, Follow-up on order, Product demostration",146,9820.58,10,0.43,46,B
Butler-Herrera,Large,Connected Car Solutions Providers,Yoderport,Arizona,5,"Technical Representative, Technical Manager, CFO, Sales Representative",18,"Contract negotiation, Follow-up on order, Product demostration, Follow-up on proposal, Product feedback, Discuss project details",68,9960.63,9,0.33,125,B
